,Id Serie,Genero
0,52198.0,Comedy
1,52933.0,Music
2,51336.0,Action
3,51336.0,Anime
4,51336.0,Science-Fiction
5,54033.0,Action
6,54033.0,Adventure
7,54033.0,Anime
8,54033.0,Fantasy
9,61674.0,Romance
10,52038.0,Comedy
12,52373.0,Drama
13,52373.0,Romance
14,52373.0,History
15,55016.0,Anime
16,50752.0,Drama
17,50752.0,Children
18,50752.0,Family
19,51893.0,Adventure
20,51893.0,Nature
25,26268.0,Drama
26,53198.0,Drama
27,53198.0,Crime
28,51111.0,Drama
29,51111.0,Action
30,51111.0,Crime
31,52984.0,Comedy
32,49864.0,Comedy
33,51896.0,Sports
34,13381.0,Comedy
35,13392.0,Comedy
36,32980.0,Adventure
37,40482.0,Medical
38,40482.0,Sports
39,40482.0,Legal
40,45389.0,Drama
41,45389.0,Science-Fiction
52,45400.0,Comedy
53,47267.0,Comedy
54,50741.0,Drama
55,50741.0,Crime
56,51119.0,Drama
57,51119.0,Romance
58,51870.0,Romance
60,52073.0,Drama
61,52073.0,Romance
62,52104.0,Drama
63,52104.0,Romance
64,52104.0,History
68,52106.0,Drama
69,52106.0,Thriller
70,52106.0,Mystery
74,52107.0,Action
75,52107.0,Crime
76,52107.0,Thriller
80,52108.0,Drama
81,52108.0,Thriller
82,52108.0,Mystery
86,52113.0,Food
87,52113.0,Nature
88,52150.0,Drama
89,52150.0,Romance
90,52150.0,Supernatural
91,52159.0,Crime
92,52159.0,Thriller
93,52159.0,Mystery
97,52191.0,Comedy
98,52191.0,Fantasy
99,52191.0,Mystery
100,53338.0,Drama
101,53338.0,Comedy
102,53612.0,Comedy
103,53612.0,Children
104,54112.0,Comedy
105,54112.0,Children
106,54112.0,Music
107,61755.0,Drama
108,61755.0,Romance
109,60785.0,Drama
110,60785.0,Food
111,60785.0,Romance
112,61530.0,Comedy
113,61530.0,Music
114,61530.0,Science-Fiction
115,38339.0,Drama
116,45812.0,Comedy
117,50661.0,Crime
118,2504.0,Drama
119,2504.0,Romance
120,50106.0,Drama
121,50106.0,Comedy
122,50106.0,Crime
126,32087.0,Drama
127,32087.0,Children
128,32087.0,Music
130,47207.0,Drama
131,47207.0,Romance
132,47207.0,Mystery
133,48395.0,Comedy
134,48395.0,Anime
